example_id,scenario_id,text,context_type,parent_review_rating,movie_rating_perfection_pct,movie_rating_skip_pct,has_mention,language_mix,target_detected,moderation_action,label_primary,labels_multi,abuse_category,intent_label,severity,contains_profanity,is_directed_at_person,source_type,source_dataset,source_url,source_license,provenance_notes,is_transformed,transformation_type,contains_pii,pii_redaction_notes,split,created_by,created_at,review_status,rationale_short,recommended_action,policy_version
moctale_mod_0001,safe_movie_000,This movie is shit but my issue is only with the acting.,main_review,Skip,63,4,false,hinglish_latin,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,true,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,test,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
moctale_mod_0002,safe_movie_001,Ye film bakwas lagi because script weak tha.,main_review,Skip,56,3,false,hinglish_latin,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,false,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,test,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
moctale_mod_0003,safe_movie_002,"I respect fans, but the pacing in Animal was painfully confusing.",main_review,Skip,90,7,false,english,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,false,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,train,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
moctale_mod_0004,safe_movie_003,Ye film bakwas lagi because editing weak tha.,main_review,Timepass,55,6,false,hinglish_latin,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,false,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,train,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
moctale_mod_0005,safe_movie_004,This movie is shit but my issue is only with the dialogues.,main_review,Skip,76,4,false,hinglish_latin,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,true,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,train,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
moctale_mod_0006,safe_movie_005,Kantara felt boring; the editing never worked for me.,main_review,Timepass,93,9,false,english,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,false,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,train,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
moctale_mod_0007,safe_movie_006,"I respect fans, but the color grading in Dhurandhar was painfully dragged.",main_review,Skip,79,3,false,english,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,false,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,train,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
moctale_mod_0008,safe_movie_007,Pathaan felt unconvincing; the direction never worked for me.,main_review,Skip,59,2,false,english,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,false,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,test,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
moctale_mod_0009,safe_movie_008,This movie is shit but my issue is only with the direction.,main_review,Skip,79,9,false,hinglish_latin,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,true,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,train,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
moctale_mod_0010,safe_movie_009,This movie is shit but my issue is only with the screenplay.,main_review,Timepass,77,7,false,hinglish_latin,movie_show,allow,safe,"[""safe"", ""harsh_criticism""]",non_abusive,criticism,none,true,false,synthetic,,,,Synthetic movie-craft criticism created for target-aware moderation coverage.,true,context_rewritten,false,,train,human_authored_seed,2026-06-23,approved,Allowed because the criticism targets movie or review content rather than a person.,allow,moctale_policy_v0.1
